Match_ID,Home_team,Away_team,FirstHalf_H,FirstHalf_A,FirstHalf_R,FH_Over_Under_1.5,SecondHalf_H,SecondHalf_A,SecondHalf_R,SH_Over_Under_1.5,Final_H,Final_A,Final_R,F_Over_Under_2.5,Winning_Team,Losing_Team,Payout_Winning Team
243,West Ham,Swansea,0,0,D,U,1,0,H,U,1,0,H,U,West Ham,Swansea,1.91
244,Huddersfield,Tottenham,0,3,A,O,0,1,A,U,0,4,A,O,Tottenham,Huddersfield,1.45
245,Arsenal,West Brom,1,0,H,U,1,0,H,U,2,0,H,U,Arsenal,West Brom,1.29
246,Brighton,Newcastle Utd,0,0,D,U,1,0,H,U,1,0,H,U,Brighton,Newcastle Utd,2.6
247,Leicester,Liverpool,1,2,A,O,1,1,D,O,2,3,A,O,Liverpool,Leicester,1.85
248,Burnley,Huddersfield,0,0,D,U,0,0,D,U,0,0,D,U,Burnley / Huddersfield,Burnley / Huddersfield,3.2
249,Everton,Bournemouth,0,0,D,U,2,1,H,O,2,1,H,O,Everton,Bournemouth,1.62
250,Manchester City,Crystal Palace,1,0,H,U,4,0,H,O,5,0,H,O,Manchester City,Crystal Palace,1.17
251,Southampton,Manchester United,0,1,A,U,0,0,D,U,0,1,A,U,Manchester United,Southampton,1.73
252,Stoke City,Chelsea,0,2,A,O,0,2,A,O,0,4,A,O,Chelsea,Stoke City,1.62
253,Swansea,Watford,0,1,A,U,1,1,D,O,1,2,A,O,Watford,Swansea,3.2
254,West Ham,Tottenham,0,2,A,O,2,1,H,O,2,3,A,O,Tottenham,West Ham,1.57
255,Manchester United,Everton,1,0,H,U,3,0,H,O,4,0,H,O,Manchester United,Everton,1.36
256,Chelsea,Arsenal,0,0,D,U,0,0,D,U,0,0,D,U,Chelsea / Arsenal,Chelsea / Arsenal,3.5
257,Tottenham,Swansea,0,0,D,U,0,0,D,U,0,0,D,U,Tottenham / Swansea,Tottenham / Swansea,6
258,Huddersfield,Leicester,0,0,D,U,1,1,D,O,1,1,D,U,Huddersfield / Leicester,Huddersfield / Leicester,3.25
259,Liverpool,Burnley,1,1,D,O,0,0,D,U,1,1,D,U,Liverpool / Burnley,Liverpool / Burnley,6.5
260,Newcastle Utd,Stoke City,1,0,H,U,1,1,D,O,2,1,H,O,Newcastle Utd,Stoke City,2.4
261,Watford,Manchester City,0,3,A,O,0,3,A,O,0,6,A,O,Manchester City,Watford,1.3
262,West Brom,West Ham,0,0,D,U,0,0,D,U,0,0,D,U,West Brom / West Ham,West Brom / West Ham,3.25
263,Crystal Palace,Southampton,0,1,A,U,0,0,D,U,0,1,A,U,Southampton,Crystal Palace,2.38
264,Bournemouth,Brighton,0,0,D,U,2,1,H,O,2,1,H,O,Bournemouth,Brighton,2
265,West Ham,Huddersfield,0,0,D,U,2,0,H,O,2,0,H,U,West Ham,Huddersfield,1.75
266,Swansea,Newcastle Utd,0,0,D,U,0,1,A,U,0,1,A,U,Newcastle Utd,Swansea,3.1
267,Burnley,Crystal Palace,1,0,H,U,0,0,D,U,1,0,H,U,Burnley,Crystal Palace,2.4
