Payout_H,Payout_D,Payout_A,TG25_Payout_O,TG25_Payout_U,Final_R
2.15,3.3,3.4,2,1.8,D
6,4,1.53,1.73,2.08,A
1.8,3.5,4.5,1.85,1.95,D
2.6,3.25,2.7,2.1,1.7,H
2.5,3.25,2.8,2.05,1.75,A
2.6,3.25,2.7,1.8,2,H
3,3.25,2.38,2.05,1.75,H
1.25,5.5,12,1.65,2.2,H
4.2,3.5,1.85,2.1,1.7,A
2.25,3.2,3.25,2.25,1.62,D
2.5,3.2,2.8,,,A
7,4,1.5,1.85,1.95,A
1.53,4,6,,,H
1.25,5.5,12,1.7,2.1,H
2.1,3.2,3.6,2.35,1.57,H
1.6,3.75,5.75,1.85,1.95,H
8,4.75,1.36,1.8,2,H
1.67,3.6,5.25,2,1.8,H
9.5,4.75,1.33,1.9,1.9,A
1.45,4.5,6.5,1.85,1.95,H
1.17,6.5,19,1.4,2.88,H
2.5,3.4,2.7,2.25,1.62,H
2.1,3.4,3.4,1.85,1.95,A
3.3,3.25,2.2,2.1,1.7,A
5,3.75,1.67,2,1.8,D
1.62,3.75,5.5,1.85,1.95,H
1.57,4,5.5,1.85,1.95,H
2.2,3.2,3.4,2.35,1.57,H
2.3,3.25,3.1,2.4,1.53,D
2.1,3.3,3.5,2.4,1.53,A
4,3.4,1.91,2,1.8,A
1.91,3.4,4,1.95,1.85,A
2.5,3.25,2.8,2,1.8,A
1.4,4.5,8,1.6,2.3,H
2.2,3.2,3.4,2.25,1.63,D
7,4,1.5,1.83,1.98,A
1.29,5,12,1.75,2.05,H
2.25,3.4,3.1,2.05,1.75,D
1.83,3.5,4.33,1.93,1.88,H
1.8,3.5,4.5,2.1,1.7,H
1.73,3.5,5,2.05,1.75,D
4.5,3.5,1.8,1.8,2,A
2.5,3.25,2.8,1.85,1.95,D
1.8,3.6,4.33,1.9,1.9,H
2.3,3.25,3.1,2.3,1.6,A
3.3,3.3,2.2,1.8,2,D
4,3.4,1.91,2,1.8,H
1.8,3.4,4.75,2.3,1.6,A
1.62,3.75,5.5,1.85,1.95,H
4,3.3,1.95,2.05,1.75,A
3.1,3.25,2.3,2,1.8,A
4.75,3.6,1.73,1.95,1.85,A
1.5,4,7,2.05,1.75,H
1.62,3.8,5.5,1.75,2.05,H
2,3.4,3.75,1.85,1.95,A
4.33,3.6,1.8,1.85,1.95,A
1.29,5.5,9.5,1.63,2.25,H
2.5,3.25,2.8,2,1.8,A
2.1,3.25,3.6,2.1,1.7,A
